title,harga,lokasi,tanggal,terjangkau_internet,dibangun,carport,pemandangan,kondisi_properti,konsep_dan_gaya_rumah,listrik,sumber_air,lantai,kamar_mandi,material_lantai,kamar_pembantu,hadap,direnovasi,sertifikat,material_bangunan,lebar_jalan,perabotan,kamar_tidur,luas_bangunan,dapur,ruang_tamu,ruang_makan,hook,garasi,kamar_mandi_pembantu,luas_tanah,kitchen_set,tempat_jemuran,tempat_laundry,one_gate_system,keamanan,kompor,jalur_telepon,keamanan_24_jam,taman,pemanas_air,mesin_cuci,kulkas,masjid,kolam_renang,ac,cctv,wastafel,playground,akses_parkir,kolam_ikan,ac.1,tipe
RUMAH TINGGAL SEMI FINISHING DI TERRACE HOUSE KEDIRI TABANAN | Rumah123,265000000,Tabanan,2024-06-13,True,2022.0,0,Pemukiman Warga,Butuh Renovasi,Minimalis,5500,Sumur Pompa,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,1 Mobil,Unfurnished,2.0,40,1,True,True,False,1,False,75,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
Rumah Tabanan Terjangkau Under 500 Juta | Rumah123,270000000,Tabanan,2024-06-13,False,2022.0,0,Pemukiman Warga,Baru,Minimalis Modern,4400,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Furnished,2.0,36,0,False,False,True,0,False,72,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,rumah
"Rumah Murah di Jalan sudirman, Abang Bagus | Rumah123",275000000,Karangasem,2024-06-13,True,2022.0,1,Pemukiman Warga,Bagus,Minimalis,2200,Sumur Bor,1.0,1.0,Granit,False,Barat,2022.0,SHM - Sertifikat Hak Milik,Batako,1 Mobil,Unfurnished,3.0,120,1,True,True,False,1,False,300,False,True,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,rumah
Disewakan Villa Mewah 2 BR Ubud Bali Bisa Tahunan dan Bulanan | Rumah123,275000000,Gianyar,2024-06-13,True,2022.0,1,Pedesaan,Bagus,Minimalis Modern,7600,Sumur Bor,1.0,2.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,1 Mobil,Furnished,2.0,140,1,True,True,False,0,False,300,True,False,False,False,False,True,False,False,True,True,True,True,False,False,True,False,True,False,False,False,False,villa
Rumah Siap Huni Di Tabanan Bali 2 Kamar Tidur | Rumah123,280000000,Tabanan,2024-06-08,True,2022.0,1,Perkotaan,Baru,Minimalis,1300,PAM atau PDAM,1.0,1.0,"Granit, Keramik, Ubin",False,Utara,2022.0,SHM - Sertifikat Hak Milik,"Beton, Bata Merah, Bata Hebel",1 Mobil,Unfurnished,2.0,36,1,True,True,False,0,False,72,False,True,False,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,False,rumah
Rumah Baru Harga Sangat Murah Udayana Estate Di Tabanan | Rumah123,295000000,Tabanan,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,36,0,False,False,False,0,False,72,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
RUMAH MURAH DI TABANAN | Rumah123,296000000,Tabanan,2024-06-13,True,2022.0,0,Pemukiman Warga,Butuh Renovasi,Minimalis,5500,Sumur Pompa,1.0,1.0,Keramik,False,Barat,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,55,1,True,False,False,1,False,64,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,rumah
Rumah Mungil Dekat Pantai Cinta Tabanan | Rumah123,300000000,Tabanan,2024-05-16,True,2022.0,1,Pedesaan,Bagus,Minimalis,1300,PAM atau PDAM,1.0,1.0,Keramik,False,Barat Laut,2022.0,SHM - Sertifikat Hak Milik,"Beton, Bata Merah",2 Mobil,Unfurnished,2.0,35,1,True,True,False,0,False,74,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,rumah
DIJUAL SEGERA RUMAH SEMIFINISHING LOKASI TABANAN | Rumah123,300000000,Bangli,2024-06-13,True,2022.0,1,Perkotaan,Bagus,Minimalis,1300,PAM atau PDAM,1.0,2.0,Ubin,False,Utara,2022.0,SHM - Sertifikat Hak Milik,Batako,3 Mobil,Unfurnished,2.0,36,1,True,True,False,1,False,104,True,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,False,rumah
RUMAH TINGGAL KAWASAN ASRI AREA SAMBANGAN BULELENG | Rumah123,300000000,Buleleng,2024-06-13,False,2022.0,0,Pemukiman Warga,Bagus,Minimalis Modern,1300,PAM atau PDAM,1.0,1.0,Granit,False,Selatan,2022.0,SHM - Sertifikat Hak Milik,Batako,2 Mobil,Unfurnished,2.0,36,0,False,False,False,0,False,100,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,rumah
