price,location,bedroom,bathroom,carport,build_area,land_area,type
650000000,Badung,3,1,1,50,100,rumah
650000000,Badung,3,1,1,50,100,rumah
669000000,Tabanan,2,1,1,50,100,rumah
685000000,Gianyar,2,1,1,50,100,rumah
685000000,Gianyar,2,1,1,50,100,rumah
685000000,Gianyar,2,1,1,50,100,rumah
685000000,Gianyar,2,1,1,50,100,rumah
950000000,Badung,2,1,0,50,100,rumah
725000000,Badung,2,1,1,50,107,rumah
1100000000,Badung,4,2,1,50,107,rumah
1600000000,Badung,2,1,1,50,110,rumah
2000000000,Denpasar,3,1,1,50,118,rumah
2000000000,Denpasar,3,1,1,50,118,rumah
2350000000,Gianyar,1,1,1,50,150,villa
2350000000,Gianyar,1,1,0,50,150,villa
550000000,Tabanan,2,1,0,51,100,rumah
550000000,Tabanan,2,1,0,51,100,rumah
2000000000,Denpasar,3,2,0,51,104,rumah
585000000,Gianyar,3,1,0,52,75,rumah
585000000,Gianyar,3,1,1,52,75,rumah
990000000,Badung,2,1,1,52,114,rumah
675000000,Badung,2,1,0,53,72,rumah
950000000,Badung,2,1,0,53,72,rumah
775000000,Badung,2,2,1,54,77,rumah
1800000000,Badung,2,2,1,54,98,villa
950000000,Denpasar,2,1,1,54,100,rumah
950000000,Denpasar,2,1,0,54,100,rumah
950000000,Denpasar,2,1,0,54,100,rumah
1010000000,Badung,3,1,0,54,100,rumah
1600000000,Denpasar,3,3,1,54,150,rumah
570000000,Badung,2,1,0,55,50,rumah
475000000,Tabanan,2,1,0,55,60,rumah
875000000,Denpasar,2,2,1,55,60,rumah
875000000,Denpasar,2,2,1,55,60,rumah
296000000,Tabanan,2,1,0,55,64,rumah
1500000000,Denpasar,2,2,1,55,70,rumah
425000000,Gianyar,2,1,0,55,75,rumah
850000000,Badung,2,1,1,55,100,rumah
1450000000,Badung,2,2,1,55,100,villa
1450000000,Badung,2,2,1,55,100,villa
1470000000,Badung,2,2,0,55,100,villa
3000000000,Denpasar,1,1,1,55,100,villa
1470000000,Badung,2,2,1,55,104,villa
1470000000,Badung,2,2,0,55,104,villa
1470000000,Badung,2,2,1,55,104,villa
1300000000,Badung,2,1,1,56,100,rumah
3500000000,Badung,1,1,1,56,130,villa
950000000,Denpasar,2,2,1,57,53,rumah
1000000000,Denpasar,2,1,0,57,80,rumah
991000000,Badung,2,1,1,57,91,villa
1720000000,Badung,2,2,1,57,98,rumah
1500000000,Badung,2,1,0,57,100,villa
1500000000,Badung,2,1,0,57,100,villa
